author,id,text_type,year,source,license,word_count,covid_era
egya,egya_poem_01_do_you_know,poetry,2009,lyrikline.org,fair_use_academic_analysis,151,pre
awaisu,awaisu_01_dailytrust_near_death,interview,2019,dailytrust.com/how-near-death-experience-prompted-my-novel-maryam-awaisu/,fair_use_academic_analysis,390,post
awaisu,awaisu_02_arts_musefair_things_keep_up,interview,2019,thearts-musefair.com/2019/07/i-write-about-the-things-that-keep-me-up-at-night-maryam-awaisu.html,fair_use_academic_analysis,550,pre
awaisu,awaisu_03_dw_arewametoo,news,2019,dw.com/en/arewametoo-a-hashtag-against-sexual-abuse-in-nigeria/a-47919495,fair_use_academic_analysis,567,post
awaisu,awaisu_04_civicus_arrest,news,2019,monitor.civicus.org/explore/Concerns-freedom-expression-several-journalists-arrested-protests-repressed,fair_use_academic_analysis,428,post
awaisu,awaisu_05_kabafest_panel,news,2017,kabafest.ng/women-overcoming-barriers/,fair_use_academic_analysis,591,pre
liam,liam_01_africanwriter_bread,interview,2014,africanwriter.com/writing-experience-bakes-the-best-bread-paul-t-liam/,fair_use_academic_analysis,555,pre
liam,liam_02_dailytrust_overemphasis,interview,2016,dailytrust.com/northern-artists-overemphasising-certain-themes-for-artistic-gratification/,fair_use_academic_analysis,566,pre
liam,liam_03_channels_deaf_birds,review,2024,channelstv.com/2024/10/23/re-imagining-homeland-in-sodiq-alabis-deaf-birds-and-frozen-frames-by-paul-liam/,fair_use_academic_analysis,560,post
liam,liam_04_channels_oriogun,review,2024,channelstv.com/2024/10/23/displacement-and-socio-political-consciousness-in-romeo-orioguns-the-gathering-of-bastards-by-paul-liam/,fair_use_academic_analysis,554,post
liam,liam_05_shamsrumi_drifting_cords,review,2025,shamsrumi.org/review-olaniyis-drifting-codes-paulliam/,fair_use_academic_analysis,517,post
liam,liam_06_musefair_our_country,review,2017,thearts-musefair.com/2017/07/book-review-our-country-holds-whip.html,fair_use_academic_analysis,558,pre
shittu,shittu_01_berkeley_metaphor,academic_article,2024,berkeleypublications.com/bjhss/article/view/134,CC_BY_4.0,554,pre
shittu,shittu_02_prague_intro,academic_article,2024,ojs.cuni.cz/pjes/article/download/4611/3734/19867,fair_use_academic_analysis,582,pre
shittu,shittu_03_brittlepaper_ana,news,2025,brittlepaper.com/2025/11/ana-2025/,fair_use_academic_analysis,379,post
shittu,shittu_04_thisage_ana,news,2025,thisage.com.ng/ana-announces-2025-literary-prize-winners/,fair_use_academic_analysis,572,post
shittu,shittu_05_brittlepaper_shortlist,news,2025,brittlepaper.com/2025/09/star-zahra-shortlisted-for-association-of-nigerian-authors-kmvl-poetry-prize-full-shortlist/,fair_use_academic_analysis,524,post
shittu,shittu_06_dailytrust_ana,news,2025,dailytrust.com/daily-trust-corps-member-shortlisted-for-ana-poetry-prize/,fair_use_academic_analysis,403,post
egya,egya_02_lyrikline_repeatedly,poetry,2009,lyrikline.org/en/poems/repeatedly-6719,fair_use_academic_analysis,127,pre
egya,egya_03_lyrikline_bowing,poetry,2009,lyrikline.org/en/poems/bowing-you-6720,fair_use_academic_analysis,122,pre
egya,egya_04_lyrikline_iclaim,poetry,2009,lyrikline.org/en/poems/i-claim-6722,fair_use_academic_analysis,152,pre
egya,egya_05_lyrikline_sickbed,poetry,2009,lyrikline.org/en/poems/sick-bed-6723,fair_use_academic_analysis,110,pre
egya,egya_06_africanwriter_okigbos_flute,poetry,2014,africanwriter.com/okigbos-flute-poems-by-e-e-sule/,fair_use_academic_analysis,547,pre
egya,egya_07_springs_poor_woods,critical_essay,2022,springs-rcc.org/the-poor-woods-of-northern-nigeria/,CC_BY_NC_ND_4.0,603,pre
egya,egya_08_shamsrumi_defence_poetry,critical_essay,2021,shamsrumi.org/in-defence-of-poetry-sabouke-versus-dangerous-ideologists-e-e-sule/,fair_use_academic_analysis,810,pre
egya,egya_09_africanwriter_interview,interview,2014,africanwriter.com/e-e-sule-a-burden-to-get-it-right/,fair_use_academic_analysis,693,pre
egya,egya_10_africanwriter_publishers,critical_essay,2019,africanwriter.com/what-is-really-wrong-with-the-publishers-in-nigeria/,fair_use_academic_analysis,822,pre
